business_area,developmentAreas,user_id,dev_areas_str,cluster
Leadership and Management,"['Operational Efficiency', 'Strategic Thinking and Visioning', 'Change Management', 'Performance Management', 'Financial Acumen', 'Conflict Resolution', 'Team Leadership and Employee Development', 'Emotional Intelligence and Empathy']",vgBl61ybIqgrGxyeXQV8AKbiusd2,Operational Efficiency Strategic Thinking and Visioning Change Management Performance Management Financial Acumen Conflict Resolution Team Leadership and Employee Development Emotional Intelligence and Empathy,2
Customer Service,"['Teamwork and Collaboration', 'Product Knowledge', 'Empathy and Emotional Intelligence', 'Communication Skills', 'Customer Experience Management', 'Adaptability and Flexibility', 'Policy and Procedure Adherence', 'Multitasking and Time Management', 'Sales Techniques', 'Customer Relationship Management (CRM)', 'Problem-Solving and Resolution']",P826jMa6MjX1bsbNvzrQwb5OBNq2,Teamwork and Collaboration Product Knowledge Empathy and Emotional Intelligence Communication Skills Customer Experience Management Adaptability and Flexibility Policy and Procedure Adherence Multitasking and Time Management Sales Techniques Customer Relationship Management (CRM) Problem-Solving and Resolution,1
Customer Service,"['Customer Experience Management', 'Problem-Solving and Resolution', 'Technology Skills', 'Customer Relationship Management (CRM)', 'Multitasking and Time Management', 'Adaptability and Flexibility', 'Policy and Procedure Adherence', 'Sales Techniques', 'Empathy and Emotional Intelligence']",jY4ss2m2WnTOddS1PT6CkaWC1SN2,Customer Experience Management Problem-Solving and Resolution Technology Skills Customer Relationship Management (CRM) Multitasking and Time Management Adaptability and Flexibility Policy and Procedure Adherence Sales Techniques Empathy and Emotional Intelligence,1
Customer Service,"['Multitasking and Time Management', 'Product Knowledge', 'Communication Skills', 'Teamwork and Collaboration', 'Adaptability and Flexibility', 'Empathy and Emotional Intelligence', 'Customer Relationship Management (CRM)', 'Sales Techniques']",uQfr8CYTLhOe51KzXMzui5KzdPk1,Multitasking and Time Management Product Knowledge Communication Skills Teamwork and Collaboration Adaptability and Flexibility Empathy and Emotional Intelligence Customer Relationship Management (CRM) Sales Techniques,56
Customer Service,"['Technology Skills', 'Product Knowledge', 'Sales Techniques', 'Multitasking and Time Management', 'Teamwork and Collaboration']",q5W07Lw677UAd22LEBs2taNG3yz1,Technology Skills Product Knowledge Sales Techniques Multitasking and Time Management Teamwork and Collaboration,19
Leadership and Management,"['Financial Acumen', 'Change Management', 'Operational Efficiency', 'Emotional Intelligence and Empathy']",KpxDdc6WKcRuFAR8lgsjaKeCrUh1,Financial Acumen Change Management Operational Efficiency Emotional Intelligence and Empathy,52
Leadership and Management,"['Operational Efficiency', 'Financial Acumen', 'Decision-Making and Problem-Solving', 'Performance Management', 'Team Leadership and Employee Development', 'Change Management', 'Strategic Thinking and Visioning', 'Communication Skills', 'Conflict Resolution', 'Emotional Intelligence and Empathy']",Fof7REFL39O2LeeWIy65jWhP1Qq1,Operational Efficiency Financial Acumen Decision-Making and Problem-Solving Performance Management Team Leadership and Employee Development Change Management Strategic Thinking and Visioning Communication Skills Conflict Resolution Emotional Intelligence and Empathy,2
Customer Service,"['Communication Skills', 'Customer Relationship Management (CRM)']",3pTW10nJTQNmWqGsUqgKZb5Lvzo2,Communication Skills Customer Relationship Management (CRM),43
Leadership and Management,"['Operational Efficiency', 'Performance Management', 'Communication Skills', 'Conflict Resolution', 'Emotional Intelligence and Empathy', 'Financial Acumen', 'Change Management']",77sRBrDboIY4oHrsKXI8GufGweh1,Operational Efficiency Performance Management Communication Skills Conflict Resolution Emotional Intelligence and Empathy Financial Acumen Change Management,21
Construction and Trade,"['Team Leadership and Collaboration', 'Problem-Solving and Decision-Making', 'Safety and Compliance', 'Technical Skills Development', 'Communication Skills', 'Contract and Legal Knowledge', 'Blueprint and Plan Reading', 'Material Knowledge']",FABLneKSAa2gyINWqBt3,Team Leadership and Collaboration Problem-Solving and Decision-Making Safety and Compliance Technical Skills Development Communication Skills Contract and Legal Knowledge Blueprint and Plan Reading Material Knowledge,20
Construction and Trade,"['Team Leadership and Collaboration', 'Adaptability and Innovation', 'Safety and Compliance', 'Quality Control', 'Sustainability and Eco-Friendly Practices', 'Material Knowledge', 'Technical Skills Development']",pmnVqGMVZjfvYqMbx9CmqZxpUlv1,Team Leadership and Collaboration Adaptability and Innovation Safety and Compliance Quality Control Sustainability and Eco-Friendly Practices Material Knowledge Technical Skills Development,54
Customer Service,"['Customer Experience Management', 'Policy and Procedure Adherence', 'Empathy and Emotional Intelligence', 'Problem-Solving and Resolution', 'Adaptability and Flexibility', 'Teamwork and Collaboration', 'Multitasking and Time Management']",W8kHAYChrHenfADfh4PzC3Z22v83,Customer Experience Management Policy and Procedure Adherence Empathy and Emotional Intelligence Problem-Solving and Resolution Adaptability and Flexibility Teamwork and Collaboration Multitasking and Time Management,35
Customer Service,"['Communication Skills', 'Customer Experience Management', 'Problem-Solving and Resolution']",uz3tYfOTpnR2x6gdygZOeO5pnTf1,Communication Skills Customer Experience Management Problem-Solving and Resolution,13
Customer Service,"['Communication Skills', 'Technology Skills', 'Multitasking and Time Management', 'Empathy and Emotional Intelligence', 'Customer Experience Management', 'Problem-Solving and Resolution', 'Customer Relationship Management (CRM)', 'Product Knowledge', 'Teamwork and Collaboration', 'Sales Techniques', 'Policy and Procedure Adherence', 'Adaptability and Flexibility']",KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,Communication Skills Technology Skills Multitasking and Time Management Empathy and Emotional Intelligence Customer Experience Management Problem-Solving and Resolution Customer Relationship Management (CRM) Product Knowledge Teamwork and Collaboration Sales Techniques Policy and Procedure Adherence Adaptability and Flexibility,1
Leadership and Management,"['Strategic Thinking and Visioning', 'Emotional Intelligence and Empathy', 'Operational Efficiency', 'Change Management']",lwuTvDMTdiWwHa88PVgUxYGD54D2,Strategic Thinking and Visioning Emotional Intelligence and Empathy Operational Efficiency Change Management,33
Construction and Trade,"['Contract and Legal Knowledge', 'Blueprint and Plan Reading', 'Team Leadership and Collaboration']",P9vShCbDYrQx5fNpT4nzuFDFkfg2,Contract and Legal Knowledge Blueprint and Plan Reading Team Leadership and Collaboration,29
Construction and Trade,"['Communication Skills', 'Sustainability and Eco-Friendly Practices']",kkvgyPxwh3YNcI2EoJTpSV1LdYg1,Communication Skills Sustainability and Eco-Friendly Practices,6
Leadership and Management,"['Decision-Making and Problem-Solving', 'Operational Efficiency', 'Team Leadership and Employee Development', 'Conflict Resolution']",SjmKqpZEPLXjpUD0NebF8sTbhNT2,Decision-Making and Problem-Solving Operational Efficiency Team Leadership and Employee Development Conflict Resolution,27
Customer Service,"['Problem-Solving and Resolution', 'Communication Skills', 'Product Knowledge', 'Customer Experience Management', 'Technology Skills', 'Policy and Procedure Adherence', 'Sales Techniques', 'Empathy and Emotional Intelligence']",jugND2HdDRRBnOpYVIu04WFWqsr1,Problem-Solving and Resolution Communication Skills Product Knowledge Customer Experience Management Technology Skills Policy and Procedure Adherence Sales Techniques Empathy and Emotional Intelligence,45
Leadership and Management,"['Strategic Thinking and Visioning', 'Performance Management']",LDjIHEbH8PQPrm6kuikuQ41WeOz2,Strategic Thinking and Visioning Performance Management,17
Customer Service,"['Empathy and Emotional Intelligence', 'Product Knowledge', 'Technology Skills']",8FXBRfOrzeXQzbm1nVzI6cBdQ3s1,Empathy and Emotional Intelligence Product Knowledge Technology Skills,4
Leadership and Management,"['Performance Management', 'Team Leadership and Employee Development', 'Conflict Resolution', 'Operational Efficiency', 'Emotional Intelligence and Empathy', 'Communication Skills', 'Strategic Thinking and Visioning', 'Decision-Making and Problem-Solving', 'Financial Acumen', 'Change Management']",D7mM3h1hPyXnjotQf93TgRLl6sC2,Performance Management Team Leadership and Employee Development Conflict Resolution Operational Efficiency Emotional Intelligence and Empathy Communication Skills Strategic Thinking and Visioning Decision-Making and Problem-Solving Financial Acumen Change Management,2
Leadership and Management,"['Decision-Making and Problem-Solving', 'Financial Acumen', 'Conflict Resolution', 'Operational Efficiency', 'Strategic Thinking and Visioning', 'Performance Management', 'Communication Skills', 'Emotional Intelligence and Empathy', 'Change Management']",VG8yP9PkvuWN8qvdkzTlIEygOEh1,Decision-Making and Problem-Solving Financial Acumen Conflict Resolution Operational Efficiency Strategic Thinking and Visioning Performance Management Communication Skills Emotional Intelligence and Empathy Change Management,7
Customer Service,"['Problem-Solving and Resolution', 'Adaptability and Flexibility', 'Empathy and Emotional Intelligence', 'Product Knowledge', 'Multitasking and Time Management', 'Customer Experience Management', 'Technology Skills', 'Communication Skills', 'Policy and Procedure Adherence', 'Teamwork and Collaboration', 'Customer Relationship Management (CRM)', 'Sales Techniques']",Jfcaz13S2pNiR7XFtd7KB0W7miv1,Problem-Solving and Resolution Adaptability and Flexibility Empathy and Emotional Intelligence Product Knowledge Multitasking and Time Management Customer Experience Management Technology Skills Communication Skills Policy and Procedure Adherence Teamwork and Collaboration Customer Relationship Management (CRM) Sales Techniques,1
Leadership and Management,"['Strategic Thinking and Visioning', 'Communication Skills', 'Decision-Making and Problem-Solving']",S0QaAK5g5CZMxax3jgdCcBbCZSk1,Strategic Thinking and Visioning Communication Skills Decision-Making and Problem-Solving,24
Construction and Trade,"['Safety and Compliance', 'Problem-Solving and Decision-Making', 'Team Leadership and Collaboration']",mPtZrbuOPzZcc2dFtwqcp3WY0Dl1,Safety and Compliance Problem-Solving and Decision-Making Team Leadership and Collaboration,5
Customer Service,"['Policy and Procedure Adherence', 'Teamwork and Collaboration', 'Empathy and Emotional Intelligence', 'Adaptability and Flexibility', 'Communication Skills', 'Problem-Solving and Resolution', 'Multitasking and Time Management', 'Product Knowledge', 'Customer Relationship Management (CRM)', 'Sales Techniques']",0jt1zBwc6MaojsX5Wj9HzXBzTti1,Policy and Procedure Adherence Teamwork and Collaboration Empathy and Emotional Intelligence Adaptability and Flexibility Communication Skills Problem-Solving and Resolution Multitasking and Time Management Product Knowledge Customer Relationship Management (CRM) Sales Techniques,1
Leadership and Management,"['Change Management', 'Emotional Intelligence and Empathy', 'Performance Management']",vgBYIzRj4pVUuGWBXiEb0XEVuwJ3,Change Management Emotional Intelligence and Empathy Performance Management,31
Leadership and Management,"['Communication Skills', 'Change Management', 'Operational Efficiency', 'Team Leadership and Employee Development']",YTayqLu4jVZcVUliuMmFEKolcmL2,Communication Skills Change Management Operational Efficiency Team Leadership and Employee Development,30
Construction and Trade,"['Safety and Compliance', 'Blueprint and Plan Reading', 'Contract and Legal Knowledge', 'Adaptability and Innovation', 'Sustainability and Eco-Friendly Practices', 'Communication Skills', 'Problem-Solving and Decision-Making', 'Material Knowledge', 'Technical Skills Development', 'Quality Control']",dUvz3ipBwuVenMtbBNWmstL1lMO2,Safety and Compliance Blueprint and Plan Reading Contract and Legal Knowledge Adaptability and Innovation Sustainability and Eco-Friendly Practices Communication Skills Problem-Solving and Decision-Making Material Knowledge Technical Skills Development Quality Control,0
Construction and Trade,"['Material Knowledge', 'Team Leadership and Collaboration', 'Quality Control', 'Problem-Solving and Decision-Making', 'Safety and Compliance', 'Contract and Legal Knowledge']",wb7O7T7qUlc1hiO2fjxu0XVrua13,Material Knowledge Team Leadership and Collaboration Quality Control Problem-Solving and Decision-Making Safety and Compliance Contract and Legal Knowledge,50
Leadership and Management,"['Emotional Intelligence and Empathy', 'Performance Management', 'Decision-Making and Problem-Solving', 'Team Leadership and Employee Development', 'Strategic Thinking and Visioning', 'Communication Skills', 'Change Management', 'Operational Efficiency', 'Conflict Resolution', 'Financial Acumen']",Yi0EU4aIUUOVfVSfTNoXj2mLwsO2,Emotional Intelligence and Empathy Performance Management Decision-Making and Problem-Solving Team Leadership and Employee Development Strategic Thinking and Visioning Communication Skills Change Management Operational Efficiency Conflict Resolution Financial Acumen,2
Construction and Trade,"['Technical Skills Development', 'Communication Skills', 'Contract and Legal Knowledge', 'Adaptability and Innovation', 'Blueprint and Plan Reading', 'Sustainability and Eco-Friendly Practices', 'Problem-Solving and Decision-Making', 'Safety and Compliance', 'Quality Control']",IFDm54DyLvVZ0WZSjt0zTxH47bo1,Technical Skills Development Communication Skills Contract and Legal Knowledge Adaptability and Innovation Blueprint and Plan Reading Sustainability and Eco-Friendly Practices Problem-Solving and Decision-Making Safety and Compliance Quality Control,0
Customer Service,"['Technology Skills', 'Multitasking and Time Management', 'Adaptability and Flexibility']",XH7WqYdn6ocjCUZyQ2ecuSF9uz22,Technology Skills Multitasking and Time Management Adaptability and Flexibility,53
Customer Service,"['Empathy and Emotional Intelligence', 'Product Knowledge', 'Communication Skills']",19fvDTRL5DdAAGHUsLZrlQTFYSf1,Empathy and Emotional Intelligence Product Knowledge Communication Skills,51
Customer Service,"['Technology Skills', 'Teamwork and Collaboration', 'Multitasking and Time Management', 'Customer Experience Management']",L6EGpTDDbCfn99kuuWvH1xUfRNp1,Technology Skills Teamwork and Collaboration Multitasking and Time Management Customer Experience Management,48
Leadership and Management,"['Conflict Resolution', 'Emotional Intelligence and Empathy']",cJiBmQGfsObNWe8FOug2lkFNBtH3,Conflict Resolution Emotional Intelligence and Empathy,28
Leadership and Management,"['Change Management', 'Performance Management', 'Financial Acumen', 'Conflict Resolution', 'Operational Efficiency', 'Communication Skills', 'Team Leadership and Employee Development', 'Decision-Making and Problem-Solving', 'Strategic Thinking and Visioning']",ielRtq6SWeZf1kU9DqP4DCeCfKV2,Change Management Performance Management Financial Acumen Conflict Resolution Operational Efficiency Communication Skills Team Leadership and Employee Development Decision-Making and Problem-Solving Strategic Thinking and Visioning,2
Construction and Trade,"['Communication Skills', 'Quality Control', 'Safety and Compliance', 'Technical Skills Development', 'Contract and Legal Knowledge']",qSlajdZMGqS3PfOufUxenMP8XAc2,Communication Skills Quality Control Safety and Compliance Technical Skills Development Contract and Legal Knowledge,37
Construction and Trade,"['Safety and Compliance', 'Problem-Solving and Decision-Making', 'Adaptability and Innovation', 'Material Knowledge', 'Technical Skills Development', 'Team Leadership and Collaboration']",ys4Osac7BnWZcIGGzi9hnM8fVgn2,Safety and Compliance Problem-Solving and Decision-Making Adaptability and Innovation Material Knowledge Technical Skills Development Team Leadership and Collaboration,32
Leadership and Management,"['Conflict Resolution', 'Decision-Making and Problem-Solving', 'Operational Efficiency', 'Performance Management', 'Financial Acumen']",eFlHh9WGs6aEDa3cQfKlyvoaYZq1,Conflict Resolution Decision-Making and Problem-Solving Operational Efficiency Performance Management Financial Acumen,42
Customer Service,"['Technology Skills', 'Customer Relationship Management (CRM)', 'Multitasking and Time Management', 'Communication Skills', 'Sales Techniques', 'Customer Experience Management', 'Empathy and Emotional Intelligence', 'Problem-Solving and Resolution', 'Adaptability and Flexibility', 'Policy and Procedure Adherence', 'Product Knowledge']",6rhLjWRPisapR6OlD05QNOOyXWH3,Technology Skills Customer Relationship Management (CRM) Multitasking and Time Management Communication Skills Sales Techniques Customer Experience Management Empathy and Emotional Intelligence Problem-Solving and Resolution Adaptability and Flexibility Policy and Procedure Adherence Product Knowledge,1
Construction and Trade,"['Problem-Solving and Decision-Making', 'Team Leadership and Collaboration']",O8QVzBM7nvQPNnBJWMy6SKHDTNl1,Problem-Solving and Decision-Making Team Leadership and Collaboration,44
Customer Service,"['Technology Skills', 'Empathy and Emotional Intelligence', 'Multitasking and Time Management', 'Policy and Procedure Adherence', 'Adaptability and Flexibility', 'Communication Skills', 'Problem-Solving and Resolution']",To8o4sNi9zVCTxcdiwLJB4HSjCI3,Technology Skills Empathy and Emotional Intelligence Multitasking and Time Management Policy and Procedure Adherence Adaptability and Flexibility Communication Skills Problem-Solving and Resolution,9
Construction and Trade,"['Communication Skills', 'Safety and Compliance', 'Problem-Solving and Decision-Making', 'Blueprint and Plan Reading', 'Quality Control', 'Team Leadership and Collaboration', 'Contract and Legal Knowledge', 'Adaptability and Innovation', 'Material Knowledge']",9gULcxfIZYRfZS7srPDkqJd9dgj1,Communication Skills Safety and Compliance Problem-Solving and Decision-Making Blueprint and Plan Reading Quality Control Team Leadership and Collaboration Contract and Legal Knowledge Adaptability and Innovation Material Knowledge,3
Customer Service,"['Teamwork and Collaboration', 'Policy and Procedure Adherence', 'Communication Skills', 'Problem-Solving and Resolution', 'Technology Skills', 'Empathy and Emotional Intelligence']",9RK03EilZxYBrJO8ydI3OPoIO1p1,Teamwork and Collaboration Policy and Procedure Adherence Communication Skills Problem-Solving and Resolution Technology Skills Empathy and Emotional Intelligence,49
Customer Service,"['Multitasking and Time Management', 'Empathy and Emotional Intelligence', 'Policy and Procedure Adherence', 'Problem-Solving and Resolution', 'Adaptability and Flexibility']",olY9c6XWEMUXp2rFeIoYxzF6I6h2,Multitasking and Time Management Empathy and Emotional Intelligence Policy and Procedure Adherence Problem-Solving and Resolution Adaptability and Flexibility,9
Customer Service,"['Empathy and Emotional Intelligence', 'Customer Relationship Management (CRM)', 'Teamwork and Collaboration', 'Problem-Solving and Resolution', 'Policy and Procedure Adherence', 'Customer Experience Management', 'Adaptability and Flexibility', 'Technology Skills', 'Multitasking and Time Management']",GwDmDVX06ddXBgnnqFioMJizRTG3,Empathy and Emotional Intelligence Customer Relationship Management (CRM) Teamwork and Collaboration Problem-Solving and Resolution Policy and Procedure Adherence Customer Experience Management Adaptability and Flexibility Technology Skills Multitasking and Time Management,35
Leadership and Management,"['Emotional Intelligence and Empathy', 'Financial Acumen', 'Team Leadership and Employee Development', 'Decision-Making and Problem-Solving', 'Change Management', 'Conflict Resolution', 'Performance Management', 'Communication Skills', 'Operational Efficiency', 'Strategic Thinking and Visioning']",Vcz6mgAq33PXyLZy3FNXCU8HjjF2,Emotional Intelligence and Empathy Financial Acumen Team Leadership and Employee Development Decision-Making and Problem-Solving Change Management Conflict Resolution Performance Management Communication Skills Operational Efficiency Strategic Thinking and Visioning,2
Construction and Trade,"['Sustainability and Eco-Friendly Practices', 'Blueprint and Plan Reading', 'Quality Control', 'Contract and Legal Knowledge', 'Team Leadership and Collaboration', 'Problem-Solving and Decision-Making', 'Safety and Compliance', 'Material Knowledge', 'Communication Skills', 'Technical Skills Development', 'Adaptability and Innovation']",2nknZIdftuV5TpOVoh6Z7DHzIYQ2,Sustainability and Eco-Friendly Practices Blueprint and Plan Reading Quality Control Contract and Legal Knowledge Team Leadership and Collaboration Problem-Solving and Decision-Making Safety and Compliance Material Knowledge Communication Skills Technical Skills Development Adaptability and Innovation,36
Customer Service,"['Sales Techniques', 'Customer Relationship Management (CRM)', 'Multitasking and Time Management', 'Customer Experience Management', 'Teamwork and Collaboration']",L7qkdSD0MQYv39xtXqIHziLKC583,Sales Techniques Customer Relationship Management (CRM) Multitasking and Time Management Customer Experience Management Teamwork and Collaboration,40
Construction and Trade,"['Problem-Solving and Decision-Making', 'Communication Skills', 'Quality Control']",pAyHzNDqMlThVfsZRP1yZFefzpt2,Problem-Solving and Decision-Making Communication Skills Quality Control,22
